
======================================SUBJECT-VERB EDGE==============================================

	Weight			Connection name

	14437741			aeroplane-smile
	16034168			aeroplane-laugh
	11949601			aeroplane-chew
	18391645			aeroplane-talk
	0			aeroplane-smake
	12055383			aeroplane-eat
	14528186			aeroplane-drink
	11900680			aeroplane-cartwheel
	16603856			aeroplane-clap
	15713823			aeroplane-climb
	0			aeroplane-climb stairs
	14375580			aeroplane-dive
	16484218			aeroplane-fall
	0			aeroplane-backhand flip
	11635803			aeroplane-handstand
	17824795			aeroplane-jump
	-5010			aeroplane-pull up
	0			aeroplane-push up
	15488190			aeroplane-run
	-23800			aeroplane-sit down
	0			aeroplane-sit up
	14141700			aeroplane-somersault
	0			aeroplane-stand up
	15063150			aeroplane-turn
	20322533			aeroplane-walk
	16902253			aeroplane-wave
	14195511			aeroplane-brush
	12952599			aeroplane-catch
	0			aeroplane-draw sword
	15457836			aeroplane-dribble
	16257199			aeroplane-golf
	14637384			aeroplane-hit
	15785253			aeroplane-kick
	15565462			aeroplane-pick
	14601018			aeroplane-pour
	18641623			aeroplane-push
	18461982			aeroplane-ride
	0			aeroplane-shoot ball
	0			aeroplane-shoot bow
	0			aeroplane-shoot gun
	0			aeroplane-swing bat
	17016914			aeroplane-exercise
	17294248			aeroplane-throw
	12994081			aeroplane-fence
	14808931			aeroplane-hug
	18158587			aeroplane-kiss
	15305075			aeroplane-punch
	0			aeroplane-shake hands
	0			aeroplane-sword fight
	16142452			bicycle-smile
	17927374			bicycle-laugh
	13360529			bicycle-chew
	20563206			bicycle-talk
	0			bicycle-smake
	13478801			bicycle-eat
	16243576			bicycle-drink
	13305831			bicycle-cartwheel
	18564327			bicycle-clap
	17569205			bicycle-climb
	0			bicycle-climb stairs
	16072951			bicycle-dive
	18430562			bicycle-fall
	0			bicycle-backhand flip
	13009680			bicycle-handstand
	19929426			bicycle-jump
	-5602			bicycle-pull up
	0			bicycle-push up
	17316931			bicycle-run
	-26610			bicycle-sit down
	0			bicycle-sit up
	15811456			bicycle-somersault
	0			bicycle-stand up
	16841704			bicycle-turn
	22722080			bicycle-walk
	18897956			bicycle-wave
	15871620			bicycle-brush
	14481954			bicycle-catch
	0			bicycle-draw sword
	17282993			bicycle-dribble
	18176739			bicycle-golf
	16365667			bicycle-hit
	17649068			bicycle-kick
	17403326			bicycle-pick
	16325007			bicycle-pour
	20842700			bicycle-push
	20641848			bicycle-ride
	0			bicycle-shoot ball
	0			bicycle-shoot bow
	0			bicycle-shoot gun
	0			bicycle-swing bat
	19026156			bicycle-exercise
	19336235			bicycle-throw
	14528334			bicycle-fence
	16557469			bicycle-hug
	20302629			bicycle-kiss
	17112195			bicycle-punch
	0			bicycle-shake hands
	0			bicycle-sword fight
	18482464			bird-smile
	20526128			bird-laugh
	15297273			bird-chew
	23544051			bird-talk
	0			bird-smake
	15432689			bird-eat
	18598246			bird-drink
	15234646			bird-cartwheel
	21255414			bird-clap
	20116039			bird-climb
	0			bird-climb stairs
	18402888			bird-dive
	21102259			bird-fall
	0			bird-backhand flip
	14895565			bird-handstand
	22818398			bird-jump
	-6414			bird-pull up
	0			bird-push up
	19827195			bird-run
	-30468			bird-sit down
	0			bird-sit up
	18103487			bird-somersault
	0			bird-stand up
	19283080			bird-turn
	26015876			bird-walk
	21637406			bird-wave
	18172372			bird-brush
	16581260			bird-catch
	0			bird-draw sword
	19788338			bird-dribble
	20811641			bird-golf
	18738036			bird-hit
	20207480			bird-kick
	19926114			bird-pick
	18691482			bird-pour
	23864060			bird-push
	23634093			bird-ride
	0			bird-shoot ball
	0			bird-shoot bow
	0			bird-shoot gun
	0			bird-swing bat
	21784190			bird-exercise
	22139219			bird-throw
	16634363			bird-fence
	18957642			bird-hug
	23245701			bird-kiss
	19592781			bird-punch
	0			bird-shake hands
	0			bird-sword fight
	15689226			boat-smile
	17424033			boat-laugh
	12985410			boat-chew
	19985860			boat-talk
	0			boat-smake
	13100361			boat-eat
	15787511			boat-drink
	12932248			boat-cartwheel
	18043103			boat-clap
	17075921			boat-climb
	0			boat-climb stairs
	15621676			boat-dive
	17913094			boat-fall
	0			boat-backhand flip
	12644412			boat-handstand
	19369875			boat-jump
	-5444			boat-pull up
	0			boat-push up
	16830729			boat-run
	-25863			boat-sit down
	0			boat-sit up
	15367524			boat-somersault
	0			boat-stand up
	16368846			boat-turn
	22084121			boat-walk
	18367365			boat-wave
	15425999			boat-brush
	14075349			boat-catch
	0			boat-draw sword
	16797744			boat-dribble
	17666397			boat-golf
	15906174			boat-hit
	17153542			boat-kick
	16914699			boat-pick
	15866656			boat-pour
	20257507			boat-push
	20062294			boat-ride
	0			boat-shoot ball
	0			boat-shoot bow
	0			boat-shoot gun
	0			boat-swing bat
	18491966			boat-exercise
	18793339			boat-throw
	14120427			boat-fence
	16092591			boat-hug
	19732600			boat-kiss
	16631742			boat-punch
	0			boat-shake hands
	0			boat-sword fight
	16704594			bottle-smile
	18551674			bottle-laugh
	13825794			bottle-chew
	21279295			bottle-talk
	0			bottle-smake
	13948184			bottle-eat
	16809239			bottle-drink
	13769191			bottle-cartwheel
	19210808			bottle-clap
	18181032			bottle-climb
	0			bottle-climb stairs
	16632673			bottle-dive
	19072385			bottle-fall
	0			bottle-backhand flip
	13462727			bottle-handstand
	20623445			bottle-jump
	-5797			bottle-pull up
	0			bottle-push up
	17919973			bottle-run
	-27537			bottle-sit down
	0			bottle-sit up
	16362072			bottle-somersault
	0			bottle-stand up
	17428197			bottle-turn
	23513351			bottle-walk
	19556056			bottle-wave
	16424331			bottle-brush
	14986271			bottle-catch
	0			bottle-draw sword
	17884853			bottle-dribble
	18809723			bottle-golf
	16935583			bottle-hit
	18263677			bottle-kick
	18009377			bottle-pick
	16893506			bottle-pour
	21568522			bottle-push
	21360676			bottle-ride
	0			bottle-shoot ball
	0			bottle-shoot bow
	0			bottle-shoot gun
	0			bottle-swing bat
	19688720			bottle-exercise
	20009597			bottle-throw
	15034266			bottle-fence
	17134064			bottle-hug
	21009645			bottle-kiss
	17708107			bottle-punch
	0			bottle-shake hands
	0			bottle-sword fight
	23588977			person-smile
	26197285			person-laugh
	19523751			person-chew
	30049028			person-talk
	0			person-smake
	19696582			person-eat
	23736750			person-drink
	19443821			person-cartwheel
	27128065			person-clap
	25673893			person-climb
	0			person-climb stairs
	23487415			person-dive
	26932595			person-fall
	0			person-backhand flip
	19011055			person-handstand
	29122885			person-jump
	-8186			person-pull up
	0			person-push up
	25305244			person-run
	-38886			person-sit down
	0			person-sit up
	23105293			person-somersault
	0			person-stand up
	24610795			person-turn
	33203793			person-walk
	27615598			person-wave
	23193211			person-brush
	21162490			person-catch
	0			person-draw sword
	25255650			person-dribble
	26561682			person-golf
	23915162			person-hit
	25790597			person-kick
	25431494			person-pick
	23855745			person-pour
	30457453			person-push
	30163948			person-ride
	0			person-shoot ball
	0			person-shoot bow
	0			person-shoot gun
	0			person-swing bat
	27802936			person-exercise
	28256056			person-throw
	21230266			person-fence
	24195442			person-hug
	29668248			person-kiss
	25006063			person-punch
	0			person-shake hands
	0			person-sword fight
	17047086			car-smile
	18932036			car-laugh
	14109262			car-chew
	21715582			car-talk
	0			car-smake
	14234162			car-eat
	17153877			car-drink
	14051499			car-cartwheel
